title	type	url_slug	venue	date	location	talk_url	description
Estudio del clan comportamiento usando Python	Ponencia	smm-2019	Congreso SMM	2019-11-28	Monterrey, NL	https://github.com/rvf0068/2019-smm-monterrey	Se define el operador de clanes de una gráfica no dirigida y se estudia el problema del clan comportamiento en gráficas finitas por medio de computadora usando una biblioteca desarrollada en el lenguage de programación Python.
Representaciones del grupo simétrico en homologías	Ponencia invitada	col-2019	Coloquio de gráficas	2019-03-06	Zacatecas, Zac	https://github.com/rvf0068/2019-coloquio-representaciones	Se expone un teorema de S. Bouc sobre representaciones del grupo $S_{n}$ en las homologías de las gráficas de emparejamientos $G_{n}$ y se plantea el problema análogo para la gráfica de clanes $K(G_{n})$
